Company,Logo,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Exxon Mobil,https://companiesmarketcap.com/img/company-logos/64/XOM.png,121710000000,150330000000,177540000000,280120000000,301240000000,267590000000,234500000000,269280000000,328110000000,344490000000,439010000000,504230000000,406060000000,322330000000,364060000000,406270000000,389640000000,438700000000,388380000000,323960000000,374280000000,354390000000,288920000000,295440000000,174280000000,259380000000,454240000000,399590000000,467980000000,507790000000,650500000000
Johnson & Johnson,https://companiesmarketcap.com/img/company-logos/64/JNJ.png,66290000000,88610000000,112730000000,129580000000,146130000000,180090000000,159420000000,153320000000,188420000000,178760000000,191010000000,189440000000,166000000000,177710000000,169850000000,179080000000,194770000000,258340000000,291040000000,284220000000,313430000000,375360000000,343570000000,384000000000,414300000000,450350000000,461840000000,377310000000,349220000000,500240000000,634060000000
Tencent,https://companiesmarketcap.com/img/company-logos/64/TCEHY.png,,,,,,,,,,,,2750000000,,,7790000000,7210000000,59530000000,118750000000,135890000000,184980000000,230000000000,493310000000,381650000000,460660000000,699780000000,562840000000,405090000000,358920000000,489750000000,705580000000,500490000000
Mastercard,https://companiesmarketcap.com/img/company-logos/64/MA.png,,,,,,,,,,,13290000000,28240000000,18470000000,33210000000,29330000000,47320000000,60540000000,133860000000,99300000000,108650000000,112500000000,160230000000,194490000000,300680000000,355840000000,352070000000,334320000000,399970000000,488460000000,523960000000,476830000000
Intel,https://companiesmarketcap.com/img/company-logos/64/INTC.png,107500000000,114370000000,196510000000,274430000000,202050000000,210400000000,102370000000,207900000000,146250000000,147730000000,116780000000,154300000000,81530000000,112660000000,115890000000,123480000000,101940000000,128910000000,172300000000,162770000000,171880000000,216020000000,211930000000,256750000000,204160000000,209600000000,109070000000,211850000000,87550000000,172670000000,464000000000
Cisco,https://companiesmarketcap.com/img/company-logos/64/CSCO.png,41710000000,56030000000,145990000000,355120000000,275290000000,132830000000,95150000000,167260000000,127210000000,105160000000,165960000000,164230000000,95430000000,137710000000,112130000000,97190000000,104320000000,119920000000,142230000000,137840000000,151690000000,189340000000,194810000000,203450000000,189090000000,267260000000,195700000000,205280000000,237410000000,308810000000,449990000000
Bank of America,https://companiesmarketcap.com/img/company-logos/64/BAC.png,29430000000,43310000000,103680000000,84170000000,74020000000,98150000000,104400000000,116050000000,190480000000,214540000000,238770000000,183280000000,70640000000,130270000000,134530000000,56350000000,125130000000,164910000000,188140000000,174690000000,223320000000,307910000000,238250000000,311200000000,262200000000,359380000000,265700000000,266450000000,340210000000,416040000000,435460000000
China Construction Bank,https://companiesmarketcap.com/img/company-logos/64/601939.SS.png,,,,,,,,,,,,202890000000,128460000000,201330000000,222620000000,175070000000,200200000000,188160000000,208200000000,173490000000,192560000000,232750000000,207220000000,217990000000,192210000000,175350000000,157960000000,152140000000,211810000000,339420000000,397050000000
Chevron,https://companiesmarketcap.com/img/company-logos/64/CVX.png,42400000000,50560000000,54110000000,56840000000,54190000000,57570000000,42710000000,93000000000,110640000000,126740000000,159150000000,195100000000,148250000000,154570000000,183180000000,211890000000,210510000000,239020000000,210850000000,169370000000,222190000000,237780000000,207000000000,226820000000,162560000000,226210000000,347060000000,281570000000,256740000000,302260000000,387940000000
UnitedHealth,https://companiesmarketcap.com/img/company-logos/64/UNH.png,8310000000,9490000000,7920000000,8890000000,19470000000,21840000000,25000000000,33910000000,56600000000,84380000000,72260000000,72920000000,32120000000,34960000000,39210000000,54020000000,55270000000,74390000000,96430000000,112110000000,152320000000,213640000000,239150000000,278690000000,332730000000,472940000000,495370000000,486940000000,469330000000,300580000000,382090000000
General Electric,https://companiesmarketcap.com/img/company-logos/64/GE.png,162760000000,239770000000,334000000000,509940000000,476160000000,398220000000,243330000000,312230000000,386890000000,365340000000,382420000000,370240000000,161270000000,161330000000,194150000000,189080000000,218410000000,282000000000,254140000000,292160000000,279540000000,151320000000,65870000000,97520000000,94600000000,103740000000,91550000000,138910000000,184070000000,334180000000,367010000000
HSBC,https://companiesmarketcap.com/img/company-logos/64/HSBC.png,65960000000,76760000000,76190000000,138550000000,156550000000,128190000000,119630000000,198260000000,218300000000,208310000000,243410000000,227250000000,135210000000,198760000000,180540000000,136150000000,193140000000,205670000000,182040000000,156370000000,160310000000,206080000000,164460000000,160170000000,105160000000,122930000000,124440000000,156170000000,176710000000,274550000000,354620000000
Coca-Cola,https://companiesmarketcap.com/img/company-logos/64/KO.png,130560000000,164760000000,165180000000,143960000000,151410000000,117220000000,108320000000,123900000000,100320000000,95490000000,111840000000,142250000000,104730000000,131270000000,150740000000,158910000000,162000000000,181840000000,184330000000,185750000000,178810000000,195470000000,202080000000,236890000000,235670000000,255750000000,275080000000,254770000000,269020000000,300690000000,353870000000
Roche,https://companiesmarketcap.com/img/company-logos/64/RO.SW.png,,,,,,,,,,,175470000000,151500000000,135330000000,148850000000,127440000000,147640000000,315460000000,238150000000,231650000000,238410000000,195430000000,215960000000,210640000000,276350000000,299200000000,359630000000,259590000000,234390000000,226770000000,330760000000,350500000000
Procter & Gamble,https://companiesmarketcap.com/img/company-logos/64/PG.png,73130000000,107090000000,121110000000,144150000000,101950000000,102560000000,111110000000,129140000000,138940000000,190370000000,202790000000,225940000000,181180000000,176100000000,180170000000,183540000000,185450000000,220730000000,245980000000,214760000000,224990000000,233090000000,229940000000,308430000000,345010000000,392110000000,359150000000,345370000000,399240000000,338760000000,343250000000
Home Depot,https://companiesmarketcap.com/img/company-logos/64/HD.png,22330000000,40180000000,84210000000,158310000000,106050000000,120350000000,55720000000,80740000000,93850000000,85990000000,81960000000,45460000000,39020000000,49190000000,57450000000,64800000000,92470000000,115950000000,138330000000,167670000000,163330000000,221320000000,194070000000,238210000000,285960000000,433360000000,321920000000,344900000000,390250000000,348210000000,332010000000
Oracle,https://companiesmarketcap.com/img/company-logos/64/ORCL.png,27440000000,21940000000,41360000000,158090000000,162340000000,75910000000,56900000000,69160000000,71680000000,63020000000,88820000000,115980000000,89460000000,122920000000,158140000000,128910000000,157740000000,172070000000,197470000000,153470000000,157730000000,195720000000,162030000000,169940000000,190440000000,232880000000,220390000000,289810000000,472570000000,568850000000,331220000000
ICBC,https://companiesmarketcap.com/img/company-logos/64/1398.HK.png,,,,,,,,,,,355880000000,453070000000,263070000000,408420000000,362730000000,331280000000,361250000000,335120000000,404020000000,353050000000,332880000000,472840000000,399830000000,434300000000,262020000000,244820000000,211120000000,223800000000,313500000000,352480000000,326770000000
Merck,https://companiesmarketcap.com/img/company-logos/64/MRK.png,96070000000,126520000000,174080000000,156480000000,216040000000,135630000000,127440000000,102640000000,70980000000,69400000000,94510000000,126240000000,64270000000,113570000000,111070000000,114900000000,123910000000,146520000000,161170000000,146890000000,162310000000,153300000000,198090000000,230920000000,206950000000,193580000000,281300000000,276250000000,252200000000,266710000000,323710000000
Novartis,https://companiesmarketcap.com/img/company-logos/64/NVS.png,,,134220000000,96130000000,116640000000,93000000000,90900000000,113240000000,122650000000,122580000000,134880000000,122980000000,112690000000,125030000000,134580000000,138090000000,152330000000,194640000000,224010000000,208460000000,172980000000,197180000000,197280000000,214830000000,217770000000,196460000000,195130000000,207530000000,196700000000,267050000000,294620000000
Bank of China,https://companiesmarketcap.com/img/company-logos/64/601988.SS.png,,,,,,,,,,,165720000000,195990000000,98340000000,153870000000,139690000000,121360000000,128930000000,123280000000,184650000000,167780000000,141480000000,169190000000,146730000000,147140000000,131390000000,131020000000,125710000000,150440000000,200690000000,258010000000,286470000000
Alibaba,https://companiesmarketcap.com/img/company-logos/64/BABA.png,,,,,,,,,,,,,,,,,,,258530000000,202800000000,219520000000,442420000000,352530000000,570940000000,648310000000,330670000000,233220000000,198560000000,202570000000,363250000000,268780000000
Wells Fargo,https://companiesmarketcap.com/img/company-logos/64/WFC.png,16030000000,29400000000,65660000000,65780000000,95480000000,73700000000,79010000000,100490000000,105310000000,105400000000,120090000000,99530000000,98020000000,139770000000,163070000000,145330000000,180000000000,238670000000,283430000000,276800000000,276770000000,298750000000,211100000000,222430000000,124770000000,186440000000,157330000000,178740000000,236760000000,305150000000,261390000000
LVMH,https://companiesmarketcap.com/img/company-logos/64/MC.PA.png,,,,,,,20050000000,35590000000,37450000000,43530000000,51690000000,59140000000,32710000000,55010000000,80220000000,71970000000,91790000000,91630000000,80720000000,79660000000,96550000000,147320000000,148540000000,233690000000,316640000000,414550000000,363550000000,408470000000,330970000000,369450000000,258910000000
Mitsubishi UFJ Financial,https://companiesmarketcap.com/img/company-logos/64/MUFG.png,88080000000,65620000000,49000000000,65160000000,45290000000,30250000000,30720000000,49760000000,66590000000,89500000000,120310000000,91250000000,71840000000,68670000000,76170000000,59520000000,75850000000,93650000000,77960000000,86640000000,84100000000,97060000000,62990000000,69940000000,56800000000,69080000000,85790000000,103430000000,135630000000,180660000000,258120000000
Nestlé,https://companiesmarketcap.com/img/company-logos/64/NESN.SW.png,,,295100000000,287890000000,373070000000,174690000000,144590000000,100830000000,105250000000,120510000000,143260000000,172840000000,144220000000,168530000000,190810000000,187060000000,208250000000,234760000000,233810000000,232740000000,221530000000,265250000000,241320000000,311540000000,333080000000,384890000000,318590000000,309150000000,212100000000,253520000000,253560000000
Shell,https://companiesmarketcap.com/img/company-logos/64/SHEL.png,,,,,,,147870000000,175980000000,192750000000,84830000000,97660000000,116160000000,71350000000,81020000000,90010000000,97260000000,125800000000,139030000000,130650000000,90220000000,122010000000,153210000000,130930000000,121660000000,72530000000,89760000000,196270000000,213520000000,187500000000,207430000000,244530000000
Kweichow Moutai,https://companiesmarketcap.com/img/company-logos/64/600519.SS.png,,,,,,1160000000,840000000,920000000,1740000000,2660000000,10630000000,28720000000,15050000000,23460000000,26250000000,31800000000,34800000000,22020000000,34970000000,42280000000,60430000000,134140000000,107770000000,212730000000,384820000000,404130000000,311050000000,305490000000,263190000000,252770000000,239920000000
PetroChina,https://companiesmarketcap.com/img/company-logos/64/0857.HK.png,,,,,,,,,93890000000,145460000000,253650000000,736800000000,260560000000,353150000000,301470000000,275650000000,264420000000,229160000000,305600000000,222140000000,201110000000,215340000000,182890000000,145520000000,109360000000,134120000000,124900000000,174780000000,214420000000,257210000000,238280000000
China Mobile,https://companiesmarketcap.com/img/company-logos/64/0941.HK.png,,,,,101600000000,65490000000,46910000000,60400000000,66700000000,93750000000,172980000000,354290000000,201900000000,188480000000,199050000000,195960000000,234030000000,208430000000,238460000000,231150000000,217030000000,207580000000,197010000000,172200000000,117130000000,122890000000,145010000000,182630000000,215960000000,233250000000,225640000000
Citigroup,https://companiesmarketcap.com/img/company-logos/64/C.png,29190000000,61680000000,119270000000,201150000000,256450000000,259900000000,180900000000,250310000000,250270000000,250260000000,273590000000,161250000000,38050000000,94270000000,137440000000,76920000000,119820000000,157850000000,163620000000,152830000000,169350000000,196740000000,123300000000,168890000000,128370000000,119820000000,87600000000,98440000000,134270000000,221680000000,221730000000
Novo Nordisk,https://companiesmarketcap.com/img/company-logos/64/NVO.png,7010000000,10820000000,9640000000,9160000000,12360000000,13900000000,10060000000,14140000000,18020000000,18210000000,26530000000,41960000000,32580000000,40480000000,67540000000,66700000000,90960000000,101180000000,112620000000,152300000000,94170000000,131120000000,111800000000,139120000000,163070000000,255070000000,304500000000,461210000000,384050000000,232830000000,215700000000
BHP Group,https://companiesmarketcap.com/img/company-logos/64/BHP.png,22780000000,15260000000,12260000000,23160000000,18810000000,32250000000,34750000000,57020000000,74390000000,101190000000,118530000000,200450000000,118450000000,301010000000,255710000000,186610000000,205150000000,180330000000,127840000000,69190000000,96480000000,122680000000,121930000000,137780000000,165000000000,152290000000,157010000000,172850000000,124520000000,158980000000,212670000000
Toyota,https://companiesmarketcap.com/img/company-logos/64/TM.png,107860000000,108760000000,101160000000,183090000000,118010000000,93890000000,96720000000,118640000000,136330000000,170950000000,217700000000,169760000000,102620000000,130750000000,123890000000,103510000000,147500000000,193900000000,198990000000,191060000000,197390000000,191030000000,165270000000,196930000000,215710000000,252840000000,186350000000,247480000000,264940000000,282320000000,210080000000
IBM,https://companiesmarketcap.com/img/company-logos/64/IBM.png,76950000000,100240000000,168870000000,192470000000,148140000000,208430000000,133480000000,157040000000,162220000000,128830000000,146260000000,149640000000,112690000000,170860000000,180220000000,216720000000,214030000000,197770000000,158910000000,132900000000,157830000000,142030000000,101440000000,118900000000,112160000000,119860000000,126280000000,149340000000,205990000000,285170000000,201790000000
Verizon,https://companiesmarketcap.com/img/company-logos/64/VZ.png,28340000000,70660000000,85110000000,95580000000,135510000000,128950000000,106390000000,97090000000,112210000000,83230000000,108420000000,125680000000,100600000000,98310000000,101150000000,113580000000,123690000000,140630000000,194360000000,188260000000,217610000000,215920000000,232300000000,253930000000,243110000000,218110000000,165470000000,158490000000,168040000000,170680000000,193660000000
TotalEnergies,https://companiesmarketcap.com/img/company-logos/64/TTE.png,19490000000,27240000000,24350000000,96600000000,102320000000,93920000000,92920000000,115240000000,133140000000,146840000000,173300000000,185360000000,128460000000,151420000000,123900000000,115330000000,122060000000,139480000000,123330000000,110080000000,123250000000,138540000000,139490000000,143390000000,115190000000,131650000000,156640000000,163460000000,122690000000,140520000000,192720000000
China Life Insurance,https://companiesmarketcap.com/img/company-logos/64/601628.SS.png,,,,,,,,,,,,202800000000,79640000000,133390000000,97520000000,76950000000,95780000000,75360000000,144100000000,115040000000,91620000000,120930000000,77550000000,124660000000,139020000000,110660000000,124990000000,93210000000,135410000000,188320000000,168540000000
AT&T,https://companiesmarketcap.com/img/company-logos/64/T.png,31110000000,67290000000,105060000000,155740000000,161710000000,131380000000,89940000000,86160000000,85060000000,94940000000,223030000000,251160000000,167950000000,165430000000,173660000000,179200000000,188140000000,183750000000,174220000000,211440000000,261170000000,238680000000,207810000000,283500000000,204940000000,175660000000,131200000000,119970000000,164020000000,176250000000,165340000000
Deutsche Telekom,https://companiesmarketcap.com/img/company-logos/64/DTE.DE.png,51220000000,53100000000,91350000000,207530000000,90470000000,71500000000,53720000000,76630000000,94740000000,69990000000,79660000000,95640000000,65540000000,64290000000,55490000000,49400000000,49100000000,76320000000,72750000000,83680000000,80520000000,82270000000,80720000000,77410000000,87250000000,92040000000,98880000000,119470000000,150500000000,161080000000,145200000000
Pfizer,https://companiesmarketcap.com/img/company-logos/64/PFE.png,53530000000,96480000000,161750000000,124780000000,290440000000,250130000000,188370000000,269530000000,200940000000,171650000000,184510000000,153670000000,119410000000,146790000000,140290000000,166340000000,182470000000,196000000000,195960000000,199320000000,197100000000,215890000000,249540000000,216820000000,204600000000,331430000000,287620000000,162560000000,150850000000,142650000000,139860000000
Unilever,https://companiesmarketcap.com/img/company-logos/64/UL.png,36450000000,50960000000,177460000000,30770000000,35830000000,34260000000,39800000000,38880000000,39070000000,39450000000,51920000000,109890000000,66050000000,92100000000,86540000000,95200000000,109220000000,116700000000,116800000000,123850000000,115540000000,155510000000,137060000000,149270000000,156630000000,136650000000,127480000000,121220000000,142100000000,144890000000,131210000000
Bristol-Myers Squibb,https://companiesmarketcap.com/img/company-logos/64/BMY.png,54530000000,93980000000,133060000000,127140000000,144440000000,100070000000,45220000000,55480000000,49880000000,44970000000,51630000000,52350000000,46020000000,43150000000,44980000000,59710000000,53120000000,87210000000,97570000000,114260000000,97660000000,100290000000,84410000000,143010000000,140170000000,138390000000,152970000000,104400000000,116980000000,111230000000,126790000000
Altria Group,https://companiesmarketcap.com/img/company-logos/64/MO.png,91640000000,109710000000,129980000000,53760000000,97150000000,98690000000,82650000000,110820000000,125830000000,155730000000,179970000000,159290000000,31020000000,40750000000,51420000000,60970000000,63180000000,76520000000,97400000000,114090000000,131870000000,136260000000,92550000000,92730000000,76190000000,86400000000,81920000000,71340000000,88770000000,96760000000,121880000000
Petrobras,https://companiesmarketcap.com/img/company-logos/64/PBR.png,,,,,13710000000,25300000000,16220000000,31750000000,43200000000,78160000000,112950000000,252780000000,107430000000,198690000000,224830000000,156230000000,124160000000,90690000000,47910000000,25570000000,64310000000,65180000000,81560000000,101180000000,71830000000,69590000000,69460000000,103560000000,77500000000,74430000000,120960000000
BP,https://companiesmarketcap.com/img/company-logos/64/BP.png,133130000000,76530000000,146450000000,192600000000,179760000000,173880000000,151610000000,181950000000,209510000000,221090000000,220140000000,230750000000,145900000000,181240000000,138370000000,135170000000,131360000000,150000000000,116640000000,96390000000,121910000000,139190000000,126500000000,125970000000,70640000000,88050000000,105700000000,102300000000,76420000000,88480000000,112840000000
GSK plc,https://companiesmarketcap.com/img/company-logos/64/GSK.png,56280000000,85570000000,125990000000,101710000000,176160000000,153760000000,112830000000,131680000000,140690000000,147360000000,151830000000,138780000000,96660000000,109650000000,101890000000,115190000000,105760000000,129000000000,104160000000,99050000000,94220000000,88110000000,93930000000,116380000000,91760000000,109100000000,71930000000,76250000000,69530000000,99330000000,102840000000
Sinopec,https://companiesmarketcap.com/img/company-logos/64/600028.SS.png,,,,,,31440000000,28240000000,49380000000,43740000000,48660000000,97230000000,251670000000,82210000000,159220000000,101320000000,97640000000,96760000000,88250000000,117820000000,88550000000,92540000000,108810000000,88380000000,85280000000,70480000000,75310000000,72810000000,88800000000,102190000000,99980000000,92710000000
Vale,https://companiesmarketcap.com/img/company-logos/64/VALE.png,,,,,,,11080000000,22450000000,33400000000,47370000000,71850000000,160710000000,63130000000,151320000000,185470000000,115080000000,108010000000,78580000000,42150000000,16950000000,39260000000,63560000000,67610000000,67690000000,85970000000,65750000000,79140000000,69010000000,38070000000,56610000000,62940000000
Nokia,https://companiesmarketcap.com/img/company-logos/64/NOK.png,17260000000,21190000000,72930000000,222300000000,204280000000,116210000000,74210000000,81530000000,73080000000,81140000000,83210000000,152240000000,59290000000,47860000000,38550000000,18120000000,14490000000,30090000000,29870000000,28780000000,27990000000,25990000000,32180000000,20690000000,21760000000,35550000000,26130000000,19200000000,24130000000,37510000000,50800000000
Ambev,https://companiesmarketcap.com/img/company-logos/64/ABEV.png,,,,,,,,,,,,,,,223760000000,256160000000,357920000000,114600000000,96510000000,70670000000,79090000000,100860000000,62390000000,72970000000,47360000000,43540000000,42810000000,44900000000,30680000000,37880000000,47280000000
American International Group,https://companiesmarketcap.com/img/company-logos/64/AIG.png,50810000000,76070000000,101420000000,167490000000,229910000000,207660000000,150960000000,172880000000,170500000000,177160000000,187210000000,147470000000,4220000000,4040000000,8090000000,44060000000,52110000000,74740000000,77060000000,73980000000,67080000000,53550000000,34150000000,44650000000,32610000000,47210000000,46980000000,47560000000,45530000000,47910000000,41910000000
Vodafone,https://companiesmarketcap.com/img/company-logos/64/VOD.png,12640000000,22260000000,49710000000,76710000000,219650000000,166950000000,123470000000,170720000000,186900000000,146810000000,146580000000,198220000000,118150000000,121470000000,137760000000,140630000000,122570000000,189410000000,91860000000,86940000000,65350000000,84240000000,51840000000,51510000000,44220000000,41170000000,27640000000,23630000000,21860000000,30900000000,34880000000
Coca-Cola FEMSA,https://companiesmarketcap.com/img/company-logos/64/KOF.png,1370000000,2750000000,1880000000,2500000000,3180000000,2850000000,2550000000,3920000000,4480000000,5090000000,7010000000,9090000000,8030000000,97080000000,121760000000,145480000000,242100000000,201930000000,143470000000,117420000000,105370000000,117000000000,102250000000,101650000000,9030000000,11400000000,14390000000,21050000000,17380000000,20300000000,21570000000
Alstom,https://companiesmarketcap.com/img/company-logos/64/ALO.PA.png,,,,,,,,,,316480000000,18720000000,29890000000,16700000000,20290000000,13750000000,8940000000,11750000000,11280000000,10100000000,9550000000,6060000000,9160000000,9010000000,10620000000,16910000000,13200000000,9160000000,5170000000,10480000000,13570000000,8420000000
Coca-Cola İçecek,https://companiesmarketcap.com/img/company-logos/64/CCOLA.IS.png,,,,,,,,,,,1930000000,2950000000,1080000000,247860000000,334280000000,298800000000,5260000000,6200000000,5530000000,3230000000,2390000000,2300000000,1470000000,1650000000,2260000000,1690000000,2770000000,4520000000,4860000000,3910000000,5380000000
The Bidvest Group,https://companiesmarketcap.com/img/company-logos/64/BVT.JO.png,,,,,,,,930000000,1510000000,1770000000,2400000000,2190000000,1870000000,2432000000000,2955000000000,2918000000000,3990000000,5000000000,5760000000,6340000000,3580000000,4350000000,4140000000,4130000000,3170000000,3820000000,4300000000,4680000000,5230000000,4760000000,4760000000
